loss_hist,iteration_hist,epoch_hist
1.5133674144744873,0,0
1.4901130199432373,1,0
1.4570515155792236,2,0
1.4263548851013184,3,0
1.5820543766021729,4,0
1.4577035903930664,5,0
1.472890019416809,6,0
1.483029842376709,7,0
1.5272420644760132,8,0
1.3914709091186523,9,0
1.5226867198944092,10,0
1.5900968313217163,11,0
1.5287127494812012,12,0
1.5130218267440796,13,0
1.4597399234771729,14,0
1.4691917896270752,15,0
1.4878877401351929,16,0
1.5284984111785889,17,0
1.434462070465088,18,0
1.4765541553497314,19,0
1.4639323949813843,20,0
1.451088547706604,21,0
1.4985294342041016,22,0
1.4815504550933838,23,0
1.4277598857879639,24,0
1.4421720504760742,25,0
1.4907429218292236,26,0
1.3911688327789307,27,0
1.5004315376281738,28,1
1.4151155948638916,29,1
1.3880287408828735,30,1
1.4249600172042847,31,1
1.6051377058029175,32,1
1.5010426044464111,33,1
1.4926865100860596,34,1
1.4754765033721924,35,1
1.4287989139556885,36,1
1.4694914817810059,37,1
1.4685883522033691,38,1
1.4150540828704834,39,1
1.3681459426879883,40,1
1.53128981590271,41,1
1.5037612915039062,42,1
1.4029697179794312,43,1
1.4994287490844727,44,1
1.3945388793945312,45,1
1.4009064435958862,46,1
1.5492727756500244,47,1
1.4801636934280396,48,1
1.5840210914611816,49,1
1.4183555841445923,50,1
1.5420458316802979,51,1
1.4317631721496582,52,1
1.4828014373779297,53,1
1.5054224729537964,54,1
1.4785889387130737,55,1
1.4749693870544434,56,2
1.365356206893921,57,2
1.4127111434936523,58,2
1.5226207971572876,59,2
1.4723362922668457,60,2
1.44216787815094,61,2
1.468092679977417,62,2
1.5428011417388916,63,2
1.4682695865631104,64,2
1.4630122184753418,65,2
1.583290457725525,66,2
1.5821301937103271,67,2
1.292776107788086,68,2
1.3611335754394531,69,2
1.5076056718826294,70,2
1.3843250274658203,71,2
1.384303092956543,72,2
1.5539460182189941,73,2
1.465561032295227,74,2
1.5313953161239624,75,2
1.3599114418029785,76,2
1.4286878108978271,77,2
1.5841739177703857,78,2
1.3958537578582764,79,2
1.5245757102966309,80,2
1.55968177318573,81,2
1.5125256776809692,82,2
1.3390491008758545,83,2
1.6036324501037598,84,3
1.3288860321044922,85,3
1.3487870693206787,86,3
1.4748542308807373,87,3
1.4712320566177368,88,3
1.4032353162765503,89,3
1.5818312168121338,90,3
1.5021991729736328,91,3
1.4755792617797852,92,3
1.4803954362869263,93,3
1.3635423183441162,94,3
1.4653222560882568,95,3
1.4894750118255615,96,3
1.4334495067596436,97,3
1.3927886486053467,98,3
1.4405874013900757,99,3
1.4564183950424194,100,3
1.3913170099258423,101,3
1.4499211311340332,102,3
1.3621753454208374,103,3
1.5064849853515625,104,3
1.442925214767456,105,3
1.4817168712615967,106,3
1.406698226928711,107,3
1.477160930633545,108,3
1.4018406867980957,109,3
1.5107824802398682,110,3
1.5785832405090332,111,3
1.4147272109985352,112,4
1.404172658920288,113,4
1.5542309284210205,114,4
1.4722986221313477,115,4
1.3729480504989624,116,4
1.470727801322937,117,4
1.465312123298645,118,4
1.4347355365753174,119,4
1.4527751207351685,120,4
1.5391952991485596,121,4
1.4607148170471191,122,4
1.4801921844482422,123,4
1.3751471042633057,124,4
1.353379249572754,125,4
1.4676753282546997,126,4
1.2649208307266235,127,4
1.4920283555984497,128,4
1.5152158737182617,129,4
1.3810029029846191,130,4
1.4694018363952637,131,4
1.3924208879470825,132,4
1.40190851688385,133,4
1.337397813796997,134,4
1.4013631343841553,135,4
1.3351104259490967,136,4
1.4685068130493164,137,4
1.4903826713562012,138,4
1.345969557762146,139,4
1.4725579023361206,140,5
1.333221435546875,141,5
1.3744828701019287,142,5
1.6134967803955078,143,5
1.5791656970977783,144,5
1.434924840927124,145,5
1.4651131629943848,146,5
1.629858374595642,147,5
1.4897656440734863,148,5
1.4251725673675537,149,5
1.437139868736267,150,5
1.5082485675811768,151,5
1.4125339984893799,152,5
1.4831981658935547,153,5
1.4739644527435303,154,5
1.3301513195037842,155,5
1.6053860187530518,156,5
1.3962507247924805,157,5
1.478640079498291,158,5
1.4199769496917725,159,5
1.4858323335647583,160,5
1.5379698276519775,161,5
1.4966322183609009,162,5
1.4536159038543701,163,5
1.343815565109253,164,5
1.3404053449630737,165,5
1.5046031475067139,166,5
1.3159927129745483,167,5
